shards in the file:	1
""
\	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
38	-	100.0%	5.12820512821%	0.384615384615%	0.0375234521576%	0.00446707763781%	0.000623313158764%	9.91634570761e-05%	1.76290590358e-05%	3.44916372439e-06%	7.3386462221e-07%	1.68177309256e-07%	4.11862798179e-08%	1.07084327527e-08%	2.93956977524e-09%	8.4795281978e-10%	2.55985756915e-10%	8.05881086584e-11%	2.63742901064e-11%	8.94841985752e-12%	3.13979644123e-12%	1.13682284941e-12%	4.23900045544e-13%	1.62495017458e-13%	6.39324658853e-14%	2.5779220115e-14%	1.06390432221e-14%	4.48834635931e-15%	1.93344150863e-15%	8.49542481064e-16%	3.803921557e-16%	1.73414070981e-16%	8.04239169767e-17%	3.7914132289e-17%	1.81560633497e-17%	8.82586412831e-18%	4.35248093999e-18%	2.17624046999e-18%	1.1026285048e-18%	5.65822522198e-19%	2.93933777765e-19%	1.54503652415e-19%	8.21411822967e-20%	4.41508854845e-20%	2.39831970533e-20%	1.3161510578e-20%	7.29433116372e-21%	4.08135196065e-21%	2.30476346013e-21%	1.31317918077e-21%	7.54700678606e-22%	4.37383347828e-22%	2.55549821203e-22%	1.50490450264e-22%	8.93020254314e-23%	5.33870804209e-23%	3.21470591782e-23%	1.94934295017e-23%	1.19012516958e-23%	7.31431093802e-24%	4.52431604414e-24%	2.81615590502e-24%	1.76365319305e-24%
39	-	-	100.0%	7.5%	0.731707317073%	0.0871080139373%	0.0121546065959%	0.00193368741298%	0.000343766651197%	6.72586926255e-05%	1.43103601331e-05%	3.2794575305e-06%	8.03132456449e-07%	2.08814438677e-07%	5.73216106171e-08%	1.65350799857e-08%	4.99172225984e-09%	1.57146811884e-09%	5.14298657074e-10%	1.74494187222e-10%	6.12260306041e-11%	2.21680455635e-11%	8.2660508881e-12%	3.16865284044e-12%	1.24668308476e-12%	5.02694792243e-13%	2.0746134283e-13%	8.75227540066e-14%	3.77021094182e-14%	1.65660783807e-14%	7.41764703615e-15%	3.38157438413e-15%	1.56826638104e-15%	7.39325579635e-16%	3.54043235318e-16%	1.72104350502e-16%	8.48733783298e-17%	4.24366891649e-17%	2.15012558435e-17%	1.10335391829e-17%	5.73170866642e-18%	3.0128212221e-18%	1.60175305478e-18%	8.60942266947e-19%	4.67672342539e-19%	2.56649456271e-19%	1.42239457693e-19%	7.95863632328e-20%	4.49428874726e-20%	2.56069940251e-20%	1.47166632328e-20%	8.52897528265e-21%	4.98322151346e-21%	2.93456378015e-21%	1.74138949591e-21%	1.04104806821e-21%	6.26867653975e-22%	3.80121875283e-22%	2.32074408067e-22%	1.42629063291e-22%	8.82241628607e-23%	5.4915040148e-23%	3.43912372644e-23%
40	-	-	-	100.0%	9.75609756098%	1.16144018583%	0.162061421279%	0.0257824988398%	0.0045835553493%	0.00089678256834%	0.000190804801775%	4.37261004067e-05%	1.07084327527e-05%	2.78419251569e-06%	7.64288141562e-07%	2.20467733143e-07%	6.65562967978e-08%	2.09529082512e-08%	6.85731542766e-09%	2.32658916296e-09%	8.16347074721e-10%	2.95573940847e-10%	1.10214011841e-10%	4.22487045392e-11%	1.66224411302e-11%	6.70259722991e-12%	2.76615123774e-12%	1.16697005342e-12%	5.02694792243e-13%	2.20881045077e-13%	9.8901960482e-14%	4.5087658455e-14%	2.09102184139e-14%	9.85767439514e-15%	4.72057647091e-15%	2.29472467336e-15%	1.1316450444e-15%	5.65822522198e-16%	2.86683411247e-16%	1.47113855772e-16%	7.6422782219e-17%	4.01709496279e-17%	2.13567073971e-17%	1.1479230226e-17%	6.23563123385e-18%	3.42199275029e-18%	1.89652610257e-18%	1.06115150977e-18%	5.99238499635e-19%	3.41426587001e-19%	1.96222176438e-19%	1.13719670435e-19%	6.64429535128e-20%	3.91275170686e-20%	2.32185266122e-20%	1.38806409094e-20%	8.35823538633e-21%	5.06829167044e-21%	3.0943254409e-21%	1.90172084389e-21%	1.17632217148e-21%	7.32200535306e-22%	4.58549830192e-22%
41	-	-	-	-	100.0%	11.9047619048%	1.66112956811%	0.264270613108%	0.0469814423303%	0.00919202132549%	0.00195574921819%	0.000448192529168%	0.000109761435715%	2.85379732858e-05%	7.83395345101e-06%	2.25979426471e-06%	6.82202042178e-07%	2.14767309575e-07%	7.02874831335e-08%	2.38475389203e-08%	8.36755751589e-09%	3.02963289368e-09%	1.12969362137e-09%	4.33049221527e-10%	1.70380021584e-10%	6.87016216066e-11%	2.83530501868e-11%	1.19614430476e-11%	5.15262162049e-12%	2.26403071203e-12%	1.01374509494e-12%	4.62148499164e-13%	2.14329738743e-13%	1.0104116255e-13%	4.83859088268e-14%	2.35209279019e-14%	1.15993617051e-14%	5.79968085253e-15%	2.93850496528e-15%	1.50791702166e-15%	7.83333517745e-16%	4.11752233686e-16%	2.18906250821e-16%	1.17662109816e-16%	6.3915220147e-17%	3.50754256904e-17%	1.94393925513e-17%	1.08768029751e-17%	6.14219462126e-18%	3.49962251676e-18%	2.01127730848e-18%	1.16562662196e-18%	6.81040273506e-19%	4.01057049954e-19%	2.37989897775e-19%	1.42276569322e-19%	8.56719127099e-20%	5.1949989622e-20%	3.17168357692e-20%	1.94926386498e-20%	1.20573022576e-20%	7.50505548689e-21%	4.70013575947e-21%
42	-	-	-	-	-	100.0%	13.9534883721%	2.21987315011%	0.394644115574%	0.0772129791341%	0.0164282934328%	0.00376481724501%	0.000921996060004%	0.000239718975601%	6.58052089885e-05%	1.89822718236e-05%	5.73049715429e-06%	1.80404540043e-06%	5.90414858321e-07%	2.0031932693e-07%	7.02874831335e-08%	2.5448916307e-08%	9.48942641954e-09%	3.63761346082e-09%	1.43119218131e-09%	5.77093621495e-10%	2.38165621569e-10%	1.004761216e-10%	4.32820216121e-11%	1.90178579811e-11%	8.5154587975e-12%	3.88204739298e-12%	1.80036980544e-12%	8.48745765422e-13%	4.06441634146e-13%	1.97575794376e-13%	9.74346383226e-14%	4.87173191613e-14%	2.46834417084e-14%	1.26665029819e-14%	6.58000154906e-15%	3.45871876297e-15%	1.83881250689e-15%	9.88361722455e-16%	5.36887849235e-16%	2.946335758e-16%	1.63290897431e-16%	9.13651449912e-17%	5.15944348186e-17%	2.93968291408e-17%	1.68947293913e-17%	9.79126362449e-18%	5.72073829745e-18%	3.36887921961e-18%	1.99911514131e-18%	1.1951231823e-18%	7.19644066763e-19%	4.36379912825e-19%	2.66421420461e-19%	1.63738164659e-19%	1.01281338964e-19%	6.30424660899e-20%	3.94811403795e-20%
43	-	-	-	-	-	-	100.0%	15.9090909091%	2.82828282828%	0.553359683794%	0.117736102935%	0.0269811902559%	0.00660763843003%	0.00171798599181%	0.000471603997751%	0.000136039614736%	4.10685629391e-05%	1.29289920364e-05%	4.23130648464e-06%	1.435621843e-06%	5.03726962457e-07%	1.823839002e-07%	6.80075560067e-08%	2.60695631359e-08%	1.02568772994e-08%	4.13583762071e-09%	1.70685362125e-09%	7.20078871464e-10%	3.10187821554e-10%	1.36294648864e-10%	6.10274547154e-11%	2.78213396497e-11%	1.29026502723e-11%	6.08267798552e-12%	2.91283171138e-12%	1.4159598597e-12%	6.98281574645e-13%	3.49140787322e-13%	1.7689799891e-13%	9.07766047038e-14%	4.71566777682e-14%	2.47874844679e-14%	1.31781562994e-14%	7.08325901093e-15%	3.84769625285e-15%	2.11154062656e-15%	1.17025143159e-15%	6.54783539104e-16%	3.697601162e-16%	2.10677275509e-16%	1.21078893971e-16%	7.01707226421e-17%	4.09986244651e-17%	2.41436344072e-17%	1.4326991846e-17%	8.56504947317e-18%	5.15744914514e-18%	3.12738937524e-18%	1.90935351331e-18%	1.17345684672e-18%	7.25849595909e-19%	4.51804340311e-19%	2.8294817272e-19%
44	-	-	-	-	-	-	-	100.0%	17.7777777778%	3.47826086957%	0.740055504163%	0.169596053037%	0.0415337272744%	0.0107987690914%	0.00296436798586%	0.000855106149768%	0.00025814525276%	8.1267949943e-05%	2.65967836177e-05%	9.02390872744e-06%	3.16628376401e-06%	1.14641308697e-06%	4.27476066328e-07%	1.63865825426e-07%	6.44718001675e-08%	2.59966936159e-08%	1.07287941907e-08%	4.5262100492e-09%	1.94975202119e-09%	8.56709221434e-10%	3.83601143926e-10%	1.74876992084e-10%	8.11023731403e-11%	3.8233975909e-11%	1.83092279001e-11%	8.90031911809e-12%	4.3891984692e-12%	2.1945992346e-12%	1.11193027886e-12%	5.70595800996e-13%	2.96413403115e-13%	1.55807045227e-13%	8.28341253105e-14%	4.45233423544e-14%	2.41855193036e-14%	1.32725410813e-14%	7.35586614142e-15%	4.11578224579e-15%	2.32420644468e-15%	1.32425716034e-15%	7.61067333531e-16%	4.41073113751e-16%	2.57705639495e-16%	1.51759987702e-16%	9.00553773179e-17%	5.38374538314e-17%	3.24182517694e-17%	1.9657876073e-17%	1.20016506551e-17%	7.37601446509e-18%	4.56248317428e-18%	2.83991299624e-18%	1.77853137138e-18%
45	-	-	-	-	-	-	-	-	100.0%	19.5652173913%	4.16281221092%	0.953977798335%	0.233627215919%	0.0607430761389%	0.0166745699205%	0.00480997209244%	0.00145206704678%	0.000457132218429%	0.00014960690785%	5.07594865918e-05%	1.78103461726e-05%	6.44857361421e-06%	2.40455287309e-06%	9.2174526802e-07%	3.62653875942e-07%	1.4623140159e-07%	6.03494673227e-08%	2.54599315268e-08%	1.09673551192e-08%	4.81898937057e-09%	2.15775643458e-09%	9.83683080471e-10%	4.56200848914e-10%	2.15066114488e-10%	1.02989406938e-10%	5.00642950393e-11%	2.46892413892e-11%	1.23446206946e-11%	6.25460781861e-12%	3.2096013806e-12%	1.66732539252e-12%	8.76414629401e-13%	4.65941954872e-13%	2.50443800743e-13%	1.36043546083e-13%	7.46580435821e-14%	4.13767470455e-14%	2.31512751326e-14%	1.30736612513e-14%	7.44894652693e-15%	4.28100375111e-15%	2.48103626485e-15%	1.44959422216e-15%	8.53649930826e-16%	5.06561497413e-16%	3.02835677802e-16%	1.82352666203e-16%	1.1057555291e-16%	6.75092849348e-17%	4.14900813661e-17%	2.56639678554e-17%	1.59745106038e-17%	1.0004238964e-17%
46	-	-	-	-	-	-	-	-	-	100.0%	21.2765957447%	4.87588652482%	1.19409465914%	0.310464611376%	0.0852255795935%	0.0245843018058%	0.00742167601685%	0.00233645356086%	0.000764657529009%	0.000259437375914%	9.10306582154e-05%	3.29593762504e-05%	1.22899369069e-05%	4.71114248099e-06%	1.85356425482e-06%	7.47404941458e-07%	3.08452832983e-07%	1.30128538915e-07%	5.60553706093e-08%	2.46303901162e-08%	1.10285328879e-08%	5.02771352241e-09%	2.33169322778e-09%	1.09922680738e-09%	5.26390302127e-10%	2.55884174645e-10%	1.26189455989e-10%	6.30947279947e-11%	3.19679955173e-11%	1.64046292786e-11%	8.52188533954e-12%	4.47945255027e-12%	2.38148110268e-12%	1.28004609269e-12%	6.95333679979e-13%	3.81585556086e-13%	2.11481151566e-13%	1.18328739567e-13%	6.68209352847e-14%	3.80723933599e-14%	2.1880685839e-14%	1.26808520203e-14%	7.40903713547e-15%	4.36309964645e-15%	2.58909209789e-15%	1.54782679765e-15%	9.32024738371e-16%	5.65163937097e-16%	3.45047456333e-16%	2.12060415871e-16%	1.31171391261e-16%	8.16474986419e-17%	5.11327769272e-17%
47	-	-	-	-	-	-	-	-	-	-	100.0%	22.9166666667%	5.61224489796%	1.45918367347%	0.40056022409%	0.115546218487%	0.0348818772792%	0.010981331736%	0.00359389038634%	0.0012193556668%	0.000427844093612%	0.000154909068377%	5.77627034626e-05%	2.21423696606e-05%	8.71175199763e-06%	3.51280322485e-06%	1.44972831502e-06%	6.11604132898e-07%	2.63460241864e-07%	1.15762833546e-07%	5.18341045729e-08%	2.36302535553e-08%	1.09589581706e-08%	5.1663659947e-09%	2.47403442e-09%	1.20265562083e-09%	5.9309044315e-10%	2.96545221575e-10%	1.50249578931e-10%	7.71017576095e-11%	4.00528610959e-11%	2.10534269863e-11%	1.11929611826e-11%	6.01621663564e-12%	3.2680682959e-12%	1.7934521136e-12%	9.93961412359e-13%	5.56145075963e-13%	3.14058395838e-13%	1.78940248791e-13%	1.02839223443e-13%	5.96000044956e-14%	3.48224745367e-14%	2.05065683383e-14%	1.21687328601e-14%	7.27478594897e-15%	4.38051627034e-15%	2.65627050436e-15%	1.62172304477e-15%	9.96683954596e-16%	6.16505538925e-16%	3.83743243617e-16%	2.40324051558e-16%
48	-	-	-	-	-	-	-	-	-	-	-	100.0%	24.4897959184%	6.36734693878%	1.74789915966%	0.504201680672%	0.152211828127%	0.0479185384846%	0.0156824307768%	0.00532082472783%	0.00186695604485%	0.000675966843826%	0.000252055433291%	9.66212494283e-05%	3.80149178078e-05%	1.53285958903e-05%	6.32608719281e-06%	2.66881803447e-06%	1.14964469177e-06%	5.0514691002e-07%	2.26185183591e-07%	1.03113833696e-07%	4.78209083807e-08%	2.25441425223e-08%	1.079578656e-08%	5.2479518e-09%	2.58803102466e-09%	1.29401551233e-09%	6.55634526246e-10%	3.36444033205e-10%	1.74776121146e-10%	9.18694995765e-11%	4.88420124331e-11%	2.62525816828e-11%	1.42606616548e-11%	7.82597285937e-12%	4.33728616302e-12%	2.42681487693e-12%	1.37043663638e-12%	7.80830176544e-13%	4.48752975025e-13%	2.6007274689e-13%	1.5195261616e-13%	8.94832072944e-14%	5.30999252077e-14%	3.17445205046e-14%	1.91149800888e-14%	1.15909985645e-14%	7.07660964989e-15%	4.34916634733e-15%	2.69020598804e-15%	1.67451597215e-15%	1.04868677043e-15%
49	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	26.0%	7.13725490196%	2.05882352941%	0.621531631521%	0.195667365479%	0.0640365923385%	0.021726700972%	0.00762340384982%	0.00276019794562%	0.00102922635261%	0.000394536768499%	0.000155227581049%	6.25917665519e-05%	2.5831522704e-05%	1.08976736407e-05%	4.69438249139e-06%	2.06268321591e-06%	9.23589499663e-07%	4.21048154258e-07%	1.95268709221e-07%	9.20552486329e-08%	4.408279512e-08%	2.14291365167e-08%	1.05677933507e-08%	5.28389667534e-09%	2.6771743155e-09%	1.37381313559e-09%	7.13669161344e-10%	3.75133789937e-10%	1.99438217435e-10%	1.07198041871e-10%	5.82310350906e-11%	3.19560558424e-11%	1.77105851657e-11%	9.90949408079e-12%	5.59594959857e-12%	3.18838988756e-12%	1.83240798135e-12%	1.06196371647e-12%	6.20473182654e-13%	3.65389763119e-13%	2.16824694598e-13%	1.29623458727e-13%	7.80528353625e-14%	4.73299108049e-14%	2.88961560704e-14%	1.77590959183e-14%	1.09850077845e-14%	6.83760688626e-15%	4.28213764594e-15%
50	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	27.4509803922%	7.9185520362%	2.39050627508%	0.752566790303%	0.246294585917%	0.0835642345076%	0.0293207840378%	0.0106161459447%	0.00395856289464%	0.00151744910961%	0.00059702915788%	0.000240737563661%	9.93520103998e-05%	4.19141293874e-05%	1.80553172746e-05%	7.93339698429e-06%	3.5522673064e-06%	1.61941597792e-06%	7.51033497005e-07%	3.54058648588e-07%	1.69549212e-07%	8.24197558333e-08%	4.06453590411e-08%	2.03226795205e-08%	1.02968242904e-08%	5.28389667534e-09%	2.74488138979e-09%	1.44282226899e-09%	7.67070067058e-10%	4.12300161044e-10%	2.23965519579e-10%	1.22907907086e-10%	6.81176352526e-11%	3.81134387723e-11%	2.15228830714e-11%	1.22630380291e-11%	7.04772300521e-12%	4.08447583256e-12%	2.3864353179e-12%	1.40534524276e-12%	8.33941133069e-13%	4.98551764335e-13%	3.00203212933e-13%	1.8203811848e-13%	1.11139061809e-13%	6.83042150702e-14%	4.22500299403e-14%	2.62984880241e-14%	1.64697601767e-14%
51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	28.8461538462%	8.70827285922%	2.74149330753%	0.897215991556%	0.304412568564%	0.106811427566%	0.0386731030843%	0.0144204791162%	0.00552785032787%	0.00217489193228%	0.000876972553337%	0.000361925180742%	0.000152687185626%	6.57729415003e-05%	2.89002318713e-05%	1.29404023304e-05%	5.89930106241e-06%	2.73590773909e-06%	1.289785077e-06%	6.17643558e-07%	3.0024339625e-07%	1.48065236507e-07%	7.40326182534e-08%	3.7509859915e-08%	1.92484807459e-08%	9.99921077708e-09%	5.25599540846e-09%	2.79432667285e-09%	1.50195058666e-09%	8.15874392753e-10%	4.47735947243e-10%	2.48142814134e-10%	1.3884181267e-10%	7.84047883316e-11%	4.46724956773e-11%	2.56738480904e-11%	1.48791619615e-11%	8.69344294378e-12%	5.11947195578e-12%	3.03792841332e-12%	1.81615285579e-12%	1.09359741854e-12%	6.63138860179e-13%	4.04863725162e-13%	2.48822497756e-13%	1.53910823354e-13%	9.58016349449e-14%	5.99969835008e-14%
52	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	30.1886792453%	9.50384346611%	3.11034877073%	1.05529690435%	0.370279615563%	0.134066757359%	0.0499909942694%	0.0191632144699%	0.00753962536522%	0.00304017151824%	0.00125467395991%	0.000529315576836%	0.000228012863868%	0.000100187470487%	4.48600614122e-05%	2.04509103497e-05%	9.48448016217e-06%	4.4712549336e-06%	2.1411643344e-06%	1.04084377367e-06%	5.1329281989e-07%	2.56646409945e-07%	1.30034181039e-07%	6.67280665857e-08%	3.46639306939e-08%	1.82207840827e-08%	9.68699913256e-09%	5.20676203375e-09%	2.82836456154e-09%	1.55215128377e-09%	8.60228422333e-10%	4.81318283924e-10%	2.71803266216e-10%	1.54864651681e-10%	8.900267338e-11%	5.15810947998e-11%	3.01372688718e-11%	1.77475027801e-11%	1.05314851662e-11%	6.29599656674e-12%	3.79113771761e-12%	2.29888138195e-12%	1.40352758056e-12%	8.62584658886e-13%	5.33557520961e-13%	3.32112334476e-13%	2.07989542803e-13%
53	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	31.4814814815%	10.303030303%	3.49567099567%	1.22655122655%	0.444096133751%	0.165595168517%	0.0634781479317%	0.0249750090223%	0.0100705681542%	0.00415610749219%	0.00175335784827%	0.000755292611562%	0.000331870995989%	0.000148598953428%	6.77436405333e-05%	3.14173405372e-05%	1.48110319675e-05%	7.09260685769e-06%	3.44779500027e-06%	1.70028246589e-06%	8.50141232943e-07%	4.30738224691e-07%	2.21036720565e-07%	1.14824270423e-07%	6.03563472739e-08%	3.20881846266e-08%	1.72473992368e-08%	9.36895761012e-09%	5.1415011275e-09%	2.84950664898e-09%	1.5943668155e-09%	9.00348319341e-10%	5.12989158694e-10%	2.94821355571e-10%	1.70862376524e-10%	9.98297031378e-11%	5.87886029589e-11%	3.4885544613e-11%	2.08554886273e-11%	1.25581436896e-11%	7.61504457772e-12%	4.64918511061e-12%	2.85731168256e-12%	1.76740928818e-12%	1.10012210795e-12%	6.88965360534e-13%
54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	32.7272727273%	11.1038961039%	3.8961038961%	1.41065830721%	0.52600818235%	0.201636469901%	0.0793323816003%	0.0319888635485%	0.0132017532105%	0.00556948963567%	0.00239916476614%	0.00105417845785%	0.000472020205007%	0.000215185681694%	9.9796258177e-05%	4.70468074263e-05%	2.25294570774e-05%	1.09518194126e-05%	5.40089724458e-06%	2.70044862229e-06%	1.36822730196e-06%	7.02116641795e-07%	3.64735917816e-07%	1.91720161929e-07%	1.01927174696e-07%	5.47858563993e-08%	2.9760218291e-08%	1.63318271109e-08%	9.05137406146e-09%	5.06445929629e-09%	2.85992995555e-09%	1.62949497468e-09%	9.36491364756e-10%	5.42739313665e-10%	3.17106115849e-10%	1.86740268222e-10%	1.10812906418e-10%	6.6246846228e-11%	3.98905740728e-11%	2.41889651292e-11%	1.47679997631e-11%	9.07616652108e-12%	5.61412362129e-12%	3.49450551937e-12%	2.18847820405e-12%
55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	33.9285714286%	11.9047619048%	4.31034482759%	1.60724722385%	0.616111435808%	0.242404499334%	0.0977437497315%	0.0403386903654%	0.0170178849979%	0.00733078122986%	0.00322110084342%	0.00144228395974%	0.000657511805177%	0.000304933011096%	0.000143754133803%	6.88400077364e-05%	3.34638926497e-05%	1.65027415807e-05%	8.25137079033e-06%	4.18069453377e-06%	2.14535640549e-06%	1.11447085999e-06%	5.85811605893e-07%	3.11444144905e-07%	1.67401227887e-07%	9.09340003335e-08%	4.99028050611e-08%	2.76569762989e-08%	1.54747367387e-08%	8.73867486419e-09%	4.97901242262e-09%	2.86150139231e-09%	1.65837012509e-09%	9.68935353984e-10%	5.70595264013e-10%	3.38594991832e-10%	2.0242091903e-10%	1.21887865222e-10%	7.39107267838e-11%	4.51244437206e-11%	2.77327310366e-11%	1.71542666206e-11%	1.06776557536e-11%	6.6870167346e-12%
56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	35.0877192982%	12.7041742287%	4.73714971239%	1.81590738975%	0.714455366458%	0.288086841314%	0.11889298213%	0.0501579768359%	0.0216065130985%	0.00949377090693%	0.00425094219713%	0.00193792953105%	0.000898749927442%	0.000423696394366%	0.000202896864907%	9.86304204411e-05%	4.86396593956e-05%	2.43198296978e-05%	1.23220470469e-05%	6.32315572143e-06%	3.28475621892e-06%	1.7266026279e-06%	9.17940637616e-07%	4.93393092718e-07%	2.68016000983e-07%	1.47081951759e-07%	8.15152985652e-08%	4.56097503877e-08%	2.57560943366e-08%	1.46749839825e-08%	8.43389884049e-09%	4.8878277371e-09%	2.85580946438e-09%	1.68175446235e-09%	9.97964186452e-10%	5.96609024509e-10%	3.59248444866e-10%	2.178421421e-10%	1.3299836044e-10%	8.17385756869e-11%	5.05599437239e-11%	3.14709853791e-11%	1.97091019546e-11%
57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	36.2068965517%	13.5008766803%	5.17533606078%	2.03619779441%	0.821047497745%	0.338844999069%	0.142950233982%	0.0615785623308%	0.0270572470848%	0.0121151852618%	0.00552309916348%	0.00256143729321%	0.00120753472394%	0.000578256064986%	0.000281096698257%	0.000138623029278%	6.93115146388e-05%	3.51178340836e-05%	1.80209938061e-05%	9.36155522394e-06%	4.9208174895e-06%	2.6161308172e-06%	1.40617031425e-06%	7.63845602801e-07%	4.19183562513e-07%	2.32318600911e-07%	1.29987788605e-07%	7.34048688592e-08%	4.182370435e-08%	2.40366116954e-08%	1.39303090507e-08%	8.13905697347e-09%	4.79300021771e-09%	2.84419793139e-09%	1.70033571985e-09%	1.02385806787e-09%	6.20850104984e-10%	3.79045327253e-10%	2.32954940708e-10%	1.44095839613e-10%	8.96923083305e-11%	5.61709405706e-11%
58	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	37.2881355932%	14.2937853107%	5.62378438455%	2.26765499377%	0.935857616477%	0.394814931951%	0.170074124533%	0.0747295395674%	0.033460987866%	0.0152542738801%	0.00707444585744%	0.00333509590422%	0.00159708817949%	0.000776362309472%	0.000382863604671%	0.000191431802336%	9.69921131834e-05%	4.97722686073e-05%	2.58557239518e-05%	1.35908292567e-05%	7.2255041618e-06%	3.88370848697e-06%	2.10966880774e-06%	1.15774507742e-06%	6.41641850134e-07%	3.59013892337e-07%	2.02737256849e-07%	1.15513088205e-07%	6.63868323016e-08%	3.84741869021e-08%	2.24793002124e-08%	1.32378101251e-08%	7.8554038105e-09%	4.6961653215e-09%	2.82779847316e-09%	1.71472886138e-09%	1.04688709432e-09%	6.4339936005e-10%	3.97978985598e-10%	2.47721613484e-10%	1.55138788243e-10%
59	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	38.3333333333%	15.0819672131%	6.08143839238%	2.50979997146%	1.05882186296%	0.456107879429%	0.200411037931%	0.0897362856407%	0.0409091890421%	0.0189723775268%	0.00894412083404%	0.00428310011771%	0.00208206255722%	0.00102677057616%	0.000513385288082%	0.000260115212628%	0.000133480174901%	6.93403505981e-05%	3.64481330067e-05%	1.93774884339e-05%	1.04154000332e-05%	5.6577481662e-06%	3.10486179853e-06%	1.72076677991e-06%	9.62809983995e-07%	5.4370446155e-07%	3.09785100186e-07%	1.780374139e-07%	1.03180773965e-07%	6.02853960243e-08%	3.5501399881e-08%	2.10667647645e-08%	1.2594261544e-08%	7.58364135983e-09%	4.59859103735e-09%	2.80756084385e-09%	1.72548010195e-09%	1.06730727956e-09%	6.64344327072e-10%	4.16054023015e-10%
60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	39.3442622951%	15.8646218932%	6.54730427338%	2.76214399033%	1.18984664199%	0.522811403298%	0.234094658193%	0.106719623588%	0.0494931587655%	0.0233324891323%	0.0111733046549%	0.00543146754058%	0.00267853193782%	0.00133926596891%	0.000678561424247%	0.000348209151916%	0.000180887871125%	9.50820861044e-05%	5.05499698276e-05%	2.71706087824e-05%	1.47593430423e-05%	8.09963947442e-06%	4.48895681715e-06%	2.51167821912e-06%	1.41835946491e-06%	8.08135043962e-07%	4.64445427565e-07%	2.69167236429e-07%	1.57266250498e-07%	9.26123475155e-08%	5.49567776466e-08%	3.28545953322e-08%	1.9783412243e-08%	1.19963244453e-08%	7.32407176657e-09%	4.50125243987e-09%	2.78427985972e-09%	1.73307215758e-09%	1.08535832091e-09%
61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	40.3225806452%	16.6410650282%	7.02044930876%	3.02419354839%	1.32881231672%	0.594990589574%	0.271245709953%	0.125795111862%	0.0593034098779%	0.0283988159979%	0.013804979999%	0.00680793534195%	0.00340396767098%	0.0017246769533%	0.000885031594454%	0.000459756672444%	0.000241666968849%	0.000128481173312%	6.90586306552e-05%	3.75133302324e-05%	2.05865836641e-05%	1.14094319102e-05%	6.38384880692e-06%	3.60499697332e-06%	2.0540099034e-06%	1.18046546173e-06%	6.84133392591e-07%	3.99718386683e-07%	2.35389716602e-07%	1.39681809852e-07%	8.35054298027e-08%	5.02828394511e-08%	3.0490657965e-08%	1.86153490734e-08%	1.14406832847e-08%	7.07671131011e-09%	4.40489173384e-09%	2.75861906564e-09%
62	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	100.0%	41.2698412698%	17.4107142857%	7.5%	3.29545454545%	1.47557666214%	0.672689360683%	0.311971877418%	0.147072456497%	0.0704290636747%	0.0342363503974%	0.016883679648%	0.00844183982402%	0.00427719884417%	0.00219487835425%	0.00114019654766%	0.000599334082745%	0.000318633309814%	0.000171265404025%	9.30330589764e-05%	5.10547274871e-05%	2.82953911374e-05%	1.58319450412e-05%	8.94039249384e-06%	5.09394456044e-06%	2.92755434508e-06%	1.69665081363e-06%	9.91301598973e-07%	5.83766497173e-07%	3.46410888432e-07%	2.07093465911e-07%	1.24701441839e-07%	7.56168317532e-08%	4.6166065702e-08%	2.8372894546e-08%	1.75502440491e-08%	1.09241314999e-08%	6.84137528279e-09%
